cartodb_id,addrlocat,addrtype,accessabil,organic,transparen,affordabil,commerce_e,education,ahsf,humane_an,community,fair,sustainabl,local,fresh,health_nut,preserves,value_adde,seafood,eggs,meat,dairy,produce,county,regional,national,legal_stru,online_de,cooperativ,food_hub,csa,business_m,business_w,state,city,vbsc,business_n,lon,lat
239,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,N/A,WA,Mt. Vernon,1,North Sound Food Hub,-122.334,48.4212
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,.,1,0,1,0,.,https://www.moorefarmsandfriends.com/store/pc/viewContent.asp?idpage=10,AL,Woodland,1,Moore Farms and Friends,-84.2621,33.7937
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,cooperative,0,1,1,1,.,http://shop.mannamarket.net/,AL,Birmingham,1,Manna Market,-86.7704,33.5311
3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,.,0,0,1,1,.,http://growalabama.com/,AL,Birmingham,1,Grow Alabama,-86.7704,33.5311
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA,,1,Pudget Sound Food Hub,-120.7401,47.7511
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,1,0,1,0,.,http://russellville.locallygrown.net/,AR,Russellville,1,Russellville Community Market,-93.2981,34.9858
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,1,0,0,0,.,http://farm2work.locallygrown.net/,AR,Little Rock,1,Farm2Work,-92.3707,34.6743
6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,cooperative,0,1,0,0,.,N/A,AR,Forrest City,1,"Arkansas Delta Seeds of Change, Inc",-90.8142,34.9825
7,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://littlerock.locallygrown.net/,AR,Little Rock,1,Little Rock Local Food Club,-92.3707,34.6743
8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,.,0,0,0,1,.,http://www.foodshedfarms.com/,AR,Grady,1,Foodshed Farm,-91.7614,34.1081
9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,0,1,0,1,0,0,non-profit,1,0,1,0,.,http://www.ycgrown.com/,AZ,Chino Valley,1,"YCGrown, the Yavapai County Farmers & Ranchers Cooperative",-112.4651,34.7747
10,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://phxpublicmarket.com/openair/,AZ,Phoenix,1,Downtown Phoenix Public Market (Community Food Connections),-111.9882,33.4954
12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,cooperative,1,1,1,0,.,http://www.farm2familydirect.com/,CA,Nevada City,1,Farm 2 Family Direct,-122.2868,37.7853
13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,.,1,0,1,1,,http://capayvalleyfarmshop.com/,CA,Esparto,1,Capay Valley Farm Shop,-122.0526,38.7086
14,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,non-profit,0,0,1,0,.,http://www.tahoefoodhub.org/,CA,Truckee,1,Tahoe Food Hub,-122.2002,40.0241
15,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,1,0,.,http://csuinc.org/programs/village-market-place/,CA,Los Angeles,1,Village Market Place,-118.0698,34.6168
16,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,non-profit,0,0,1,0,.,http://www.mandelamarketplace.org/#!madelafoods/cs4q,CA,Oakland,1,Mandela Marketplace,-80.2877,43.0384
17,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,non-profit,0,0,1,0,distributor; wholesaler; farm-to-business/institution,http://www.albafarmers.org,CA,Salinas,1,Agriculture and Land-Based Training Association (ALBA) Organics,-121.7829,36.7316
19,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,0,.,http://www.harvestsantabarbara.com/,CA,Santa Barbara,1,Harvest Santa Barbara,-119.6768,34.4204
20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,s corp,0,0,1,0,.,http://www.sonomaorganics.com/,CA,Sebastopol,1,Sonoma Organics,-121.1262,39.3536
21,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,0,.,http://www.ojaipixies.com/,CA,Ojai,1,Ojai Pixie Growers Association,-121.1935,38.7289
23,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,0,.,http://feedsonoma.com/,CA,Sebastopol,1,f.e.e.d Sonoma,-121.1262,39.3536
24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,0,.,http://oldgrovefarmshare.com/,CA,Mentone,1,Inland Orange Conservancy (Old Grove Oranges),-117.15,34.0241
27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,.,0,0,0,0,primary food producers and harvesters,http://www.swantonberryfarm.com/,CA,Davenport,1,Swanton Berry Farm,-122.2537,37.0646
29,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,farmer-owned cooperative,1,1,1,1,CSA; buying club,http://www.headwatersgrowers.coop,CO,Fowler,1,Arkansas Valley Organic Growers,-104.0584,38.125
30,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,LLC,1,0,1,0,.,http://ranchfoodsdirect.com/,CO,Colorado Springs,1,Ranch Foods Direct LLC,-104.7995,38.8292
31,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,LLC,0,0,1,0,.,http://www.locofooddistribution.com/,CO,Fort Collins,1,LoCo Food Distribution,-105.0938,40.5409
32,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,.,0,0,0,0,.,http://www.homesteadmeats.com/,CO,Delta,1,Homestead Meats,-107.609,38.855
26,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,0,1,.,http://www.phatbeetsproduce.org/,CA,Oakland,1,Phat Beets Produce,-122.280377,37.842578
25,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,0,1,.,https://www.southcentralfarmers.com/,CA,Sun Valley,1,"South Central Farmers Cooperative, LLC",-118.245053,34.007796
28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,.,,,,,.,http://www.smgov.net/portals/farmersmarket/,CA,Santa Monica,1,Santa Monica Farmers Markets,-70.751099,43.075694
11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,.,0,0,0,1,.,https://www.chowlocally.com/,AZ,Phoenix,1,Chow Locally,-111.969164,33.421086
33,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,LLC,1,0,1,0,.,http://www.ctffe.com/index.htm,CT,East Haddam,1,"Connecticut Farm Fresh Express, LLC",-72.5665,41.4203
34,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,.,0,0,1,0,.,http://www.thefarmerscow.com/,CT,Lebanon,1,The Farmer's Cow,-72.279,41.6262
35,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,1,0,.,http://www.dccentralkitchen.org/,DC,Washington,1,DC Central Kitchen,-77.0379,38.9347
258,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,N/A,WI,Fennimore,,Fennimore Produce Auction,-90.6554,42.9836
37,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,1,0,1,0,.,https://www.rhomarket.com/,FL,Tallahassee,1,Red Hill Online Farmers Market,-84.2774,30.4444
38,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,cooperative,0,1,0,0,.,http://newnorthfloridacoop.com/index_files/nnfc.htm,FL,Marianna,1,New North FL Cooperative,-85.1851,30.7794
39,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,LLC,0,,,,.,http://suncoastfoodalliance.com/,FL,Tampa Bay,1,Suncoast Food Alliance,-82.4212,28.0695
40,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,.,1,0,1,0,.,http://northeastgeorgia.locallygrown.net/,GA,Clarksville,1,Northeast Georgia Locally Grown,-83.7321,32.8914
41,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,.,1,0,1,0,.,http://www.turniptruckga.com/,GA,Atlanta,1,The Turnip Truck,-84.3926,33.7994
42,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,cooperative,0,1,0,0,.,http://www.cgsfc.com/,GA,Glenville,1,Coastal Georgia Small Farmers Cooperative,-85.1643,32.1403
43,0,0,0,0,1,1,0,0,0,,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,.,0,0,1,1,.,http://www.globalgrowers.org/,GA,Avondale Estates,1,Global Growers Network,-84.2627,33.7821
44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,1,0,.,http://www.blankfoundation.org/sites/default/files/food-oasis/Fulton%20Fresh%20Mobile%20Farmers%20Market%20Resource%20Letter_v030614.pdf,GA,Atlanta,1,Fulton County Cooperative Fresh Mobile Farmers' Market,-84.3926,33.7994
45,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,LLC,1,0,1,1,,http://www.oahufresh.com/,HI,Honolulu,1,Oahu Fresh,21.3069,-157.8583
46,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,1,0,0,.,1,0,1,1,CSA,http://www.adaptationsaloha.com,HI,Captain Cook,1,"Adaptations, Inc",-157.8508,21.3073
47,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,0,1,.,http://www.hawaiifoodbasket.org/,HI,Hilo,1,"The Food Basket, Inc",-155.1459,19.497
48,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,cooperative,1,1,1,0,.,http://iowafood.coop/,IA,Des Moines,1,Iowa Food Cooperative,-93.6187,41.6277
49,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,cooperative,1,1,0,0,.,http://iowavalleyfood.com/,IA,Amana,1,Iowa Valley Food Cooperative,-91.8651,41.7944
50,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,.,1,0,1,0,.,http://www.grassrunfarms.com/,IA,Dorchester,1,Grass Run Farms,-91.5707,43.4777
51,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,cooperative,0,1,0,0,.,http://www.grownlocally.com/,IA,Decorah,1,GROWN Locally,-91.7797,43.3061
52,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://www.iowafoodhub.com/,IA,Decorah,1,Iowa Food Hub,-91.7822,43.3061
53,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,,0,0,0,1,CSA; roadside stand,http://anniesgardensandgreens.com,IA,FT. Atkinson,1,Annie's Garden and Greens,-91.9288,43.1533
54,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,cooperative,1,1,0,0,hybrid; farm to consumer (online ordering); farm to business/institution; wholesaler,http://idahosbounty.coop,ID,Garden City,1,Idaho's Bounty Co-op,-116.2413,43.6263
55,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,1,0,0,.,0,1,0,0,.,http://www.sixriversmarket.com/,ID,Sandpoint,1,Six Rivers Market,-116.5477,48.2709
56,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,s corp,1,0,1,1,.,https://www.gourmetgorilla.com/,IL,Chicago,1,"Gourmet Gorilla, Inc",-87.9966,41.7504
57,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,.,1,0,1,0,.,https://www.freshpicks.com/,IL,Niles,1,Irv & Shelly's Fresh Picks,-87.8455,42.2192
58,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,non-profit,1,0,0,1,education; farm,http://www.learngrowconnect.org/urban/rockford,IL,Rockford,1,Angelic Organics Learning Center - Roots and Wings Network,-87.8804,42.1971
59,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,non-profit,0,0,1,1,.,http://www.healthyfoodhub.org/,IL,Chicago,1,Healthy Food Hub,-87.6422,41.6851
60,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,.,0,0,1,0,.,N/A,IL,Chicago,1,Fresh Moves Mobile Produce Market,-87.9966,41.7504
61,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,LLC,0,0,1,0,.,http://localfoods.com/,IL,Chicago,1,"Chicago Local Foods, LLC dba Local Foods",-87.9966,41.7504
62,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,.,0,0,1,0,.,http://www.goodnessgreeness.com/eSource/default/Login.aspx?role=customer,IL,Chicago,1,Goodness Greenness,-87.9966,41.7504
63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,LLC,0,0,1,0,.,http://www.thestewardsoftheland.com/,IL,Fairbury,1,Stewards of the Land,-88.5165,40.7522
64,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.,https://www.redmeatmarket.com/,IL,Chicago,1,Red Meat Market,-87.9966,41.7504
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,.,0,0,1,0,.,http://windcrestdairy.com/about_us.html,IL,Trenton,1,Windcrest Dairy Inc,-90.827,40.6874
66,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,LLC,0,0,0,1,.,http://www.goodearthfoodalliance.com/,IL,Farmington,1,Good Earth Food Alliance CSA,-90.0013,40.7035
67,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,.,1,0,1,0,.,http://greenbeandelivery.com/,IN,Indianapolis,1,Green B.E.A.N Delivery,-86.5224,39.6447
68,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,non-profit,1,0,1,0,.,http://hoosierharvestmarket.com/,IN,Greenfield,1,Hoosier Harvest Market,-85.7662,39.8152
69,1,1,,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,.,0,0,1,0,.,http://www.thisoldfarminc.com/,IN,Colfax,1,"This Old Farm, Inc",-87.4198,41.1674
70,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,.,0,1,0,0,.,http://www.rollingprairie.net/,KS,Lawrence,1,Rolling Prairie Farmers Alliance,-95.3694,38.8611
71,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,.,0,0,1,1,.,http://www.goodnaturedfamilyfarms.com/,KS,Bronson,1,Good Natured Family Farms,-95.0605,37.9616
72,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,cooperative,0,1,0,0,.,http://www.campbellcountybeef.com/,KY,Cold Spring,1,Campbell County Beef Association,-84.3869,39.0344
73,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,.,0,0,1,0,.,http://www.growfarms.com/,KY,Louisville,1,Grow Farms (Horton Fruit Company),-85.7627,38.2189
77,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,c-corp,1,0,1,0,.,http://www.masslocalfood.org/,MA,Sterling,1,Massachusetts Local Food Cooperative,-72.6751,42.2376
78,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,B-corp,1,0,1,0,aggregator; box scheme; home and office delivery,http://www.bostonorganics.com,MA,Charlestown,1,Boston Organics,-71.0529,42.3762
79,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,non-profit,0,1,0,1,.,http://justroots.org/farm/common-wealth-csa/,MA,Greenfield,1,Common Wealth CSA,-72.6145,42.4721
80,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,LLC,0,0,1,0,.,http://orfoodex.com/,MA,Lexington,1,OR FoodEx,-71.1486,42.4806
81,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,.,0,0,1,0,.,http://southshoreorganics.com/,MA,Duxbury,1,South Shore Organics,-70.6302,41.9984
82,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,cooperative,0,0,1,0,.,http://www.farmdirectcoop.org/,MA,Marblehead,1,Farm Direct Coop,-71.0601,42.6043
84,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.,0,0,1,0,.,http://www.fccdc.org/about-the-center,MA,Greenfield,1,Western MA Food Processing Center,-72.5521,42.6076
85,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,LLC,0,0,1,0,.,http://www.northeastfamilyfarms.com/,MA,Woburn,1,"Northeast Family Farms, LLC",-71.1479,42.5792
86,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,LLC,0,0,1,0,producer program; distributor,http://azulunabrands.com/Contacts/Contacts.html,MA,North Grafton,1,Azuluna,-71.6824,42.2125
88,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,,1,1,1,0,.,https://www.friendsandfarms.com/,MD,Columbia,1,Friends and Farms,-76.8413,39.2392
89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,LLC,1,1,0,1,.,http://www.garrettgrowers.com/,MD,Oakland,1,"Garrett Growers Cooperative, LLC",-79.4097,39.4083
91,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,.,1,0,1,0,.,https://www.washingtonsgreengrocer.com/,MD,Capital Heights,1,Washington's Green Grocer,-123.407,48.6381
92,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,cooperative,1,1,1,0,.,http://www.crownofmainecoop.com/,ME,North Vassalboro,1,Crown O' Maine Organic Cooperative,-69.5976,44.4361
93,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,.,0,0,1,1,.,http://nesfp.org/worldpeas,ME,Lowell,1,World PEAS Marketing Cooperative,-70.2839,43.6549
